國文,英文,數學,社會,自然
9,14,8,15,8
6,13,7,7,14
10,7,7,13,15
14,7,12,10,9
13,7,15,9,6
15,9,10,9,13
6,7,9,6,11
7,8,8,11,6
11,10,13,7,7
6,15,14,11,11
11,10,10,9,12
8,7,12,15,12
13,11,12,14,10
6,7,7,14,14
13,11,15,8,9
9,8,7,11,6
7,11,10,7,8
8,15,11,6,14
11,14,10,6,6
12,15,15,14,15
13,8,8,9,9
10,8,13,9,13
14,12,8,15,8
10,15,7,11,10
13,12,6,12,8
6,11,9,14,13
9,15,13,12,10
9,9,14,12,12
9,15,14,7,13
12,15,12,11,11
14,6,14,7,11
15,15,15,13,11
10,12,12,10,12
7,14,13,7,8
8,12,7,6,13
7,12,10,14,15
6,13,9,12,15
12,7,7,15,8
14,9,12,14,13
12,11,14,8,15
8,6,12,10,10
7,9,12,10,14
15,14,9,8,12
7,14,15,10,9
14,7,6,11,15
9,14,7,7,12
8,12,7,10,9
9,9,9,9,15
15,12,15,12,9
8,15,9,12,14
15,13,14,8,11
7,7,14,8,14
12,12,8,15,7
15,10,9,7,10
10,12,9,15,13
8,14,15,14,14
13,7,12,12,9
9,6,15,9,7
13,15,7,7,10
14,10,9,11,14
10,14,8,11,11
9,6,14,13,14
9,8,7,15,10
15,9,14,11,6
9,14,12,9,15
10,9,13,12,8
10,14,13,15,8
8,10,6,7,12
8,14,15,12,15
7,9,11,12,15
9,11,8,7,11
14,10,7,8,9
8,13,6,10,8
10,10,6,11,13
7,15,6,13,12
15,13,13,7,15
12,15,12,9,14
9,8,8,6,6
7,13,13,7,15
9,9,13,14,13
15,8,10,7,11
7,14,13,11,9
6,7,8,8,10
15,15,11,12,11
15,10,7,15,11
6,6,13,15,13
12,9,11,12,14
8,12,14,7,12
11,6,11,11,9
8,10,10,11,11
6,13,11,10,8
13,8,9,6,9
6,15,15,7,8
15,10,8,14,11
9,11,9,13,15
7,12,6,8,15
14,10,13,14,7
15,10,15,11,7
7,15,12,13,8
9,12,14,6,10
